Purity	Accuracy	a	b
0.04358709	0.8991937757141493	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.043687288	0.9020804857192473	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.043787487	0.8909673876175813	[0.86, 0.912]	--------------------------------------------------------------------|--*|-------
0.043887686	0.9044590788366332	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.043987885	0.9031546492202462	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.044088084	0.8926266354519996	[0.862, 0.914]	--------------------------------------------------------------------|--*-|------
0.044188283	0.8941594149936762	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
0.044288483	0.8997997518268708	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.04438868	0.8967055240142524	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.04448888	0.908583511182103	[0.88, 0.928]	----------------------------------------------------------------------|-*-|-----
0.04458908	0.9028922525168306	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.04468928	0.8943235318755028	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
0.04478948	0.9016832388849003	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.044889677	0.9063324395636243	[0.877, 0.926]	----------------------------------------------------------------------|-*-|-----
0.044989876	0.896510926076358	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.045090076	0.895716152056994	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.045190275	0.8923952030857047	[0.862, 0.913]	--------------------------------------------------------------------|--*-|------
0.045290474	0.8976261393708782	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.045390673	0.8926760195126642	[0.862, 0.914]	--------------------------------------------------------------------|--*-|------
0.045490872	0.8954276657616668	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.04559107	0.8941076811465362	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
0.04569127	0.9028406104327837	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.04579147	0.8912242932207091	[0.86, 0.912]	--------------------------------------------------------------------|--*|-------
0.04589167	0.8941272511767684	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
0.045991868	0.8915765568112652	[0.861, 0.913]	--------------------------------------------------------------------|--*-|------
0.046092067	0.9037161590567555	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.046192266	0.9016192501891488	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.046292465	0.8960383342789133	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.046392664	0.8980323726193788	[0.868, 0.918]	---------------------------------------------------------------------|-*-|------
0.046492863	0.8971974743643172	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.046593063	0.8953688867710378	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.04669326	0.9057513188329336	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
0.04679346	0.8955130364319511	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.04689366	0.9023919778481245	[0.873, 0.922]	---------------------------------------------------------------------|--*|------
0.04699386	0.8916036341268931	[0.861, 0.913]	--------------------------------------------------------------------|--*-|------
0.04709406	0.8983597304041873	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.047194257	0.8997958727793225	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.047294457	0.8995196475161036	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.047394656	0.9006349601107586	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.047494855	0.8997164828950243	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.047595054	0.8973465400321499	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.047695253	0.9030549836774717	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.047795452	0.8967660151789789	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.04789565	0.9006254999371144	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.04799585	0.9096941185445285	[0.881, 0.929]	----------------------------------------------------------------------|-*-|-----
0.04809605	0.8940132574860195	[0.863, 0.915]	---------------------------------------------------------------------|-*-|------
0.04819625	0.9061698407595148	[0.877, 0.926]	----------------------------------------------------------------------|-*-|-----
0.048296448	0.9090988702919744	[0.88, 0.928]	----------------------------------------------------------------------|-*-|-----
0.048396647	0.9031241133327016	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.048496846	0.8977181060444267	[0.868, 0.918]	---------------------------------------------------------------------|-*-|------
0.048597045	0.9036406175702838	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.048697244	0.8911455250770609	[0.86, 0.912]	--------------------------------------------------------------------|--*|-------
0.048797444	0.901599100822858	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.048897643	0.8964033684874257	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.04899784	0.9046146687577546	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.04909804	0.8959317741462995	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.04919824	0.8991825120989423	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.04929844	0.8969203876276011	[0.867, 0.917]	---------------------------------------------------------------------|-*-|------
0.04939864	0.9031272230780759	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.049498837	0.8936993691976105	[0.863, 0.915]	---------------------------------------------------------------------|-*-|------
0.049599037	0.9000927082772705	[0.87, 0.92]	---------------------------------------------------------------------|--*|------
0.049699236	0.8913707257853398	[0.861, 0.913]	--------------------------------------------------------------------|--*-|------
0.049799435	0.8991363571372312	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.049899634	0.8982229705956141	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.049999833	0.8959535948975131	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
